INCLUIDO/ RDC 35/2012 CAP V ART 10
INCLUIDO/ RDC 35/2012 CAP V ART 11-I
INCLUIDO/RDC 35/2012 CAP V ART 11-II
INCLUIDO/ RDC 35/2012 CAP V ART 11-III
LISTA DE MEDICAMENTOS DE REFERÊNCIA,"","","","",""
FÁRMACO,DETENTOR,"",NOME COMERCIAL,CONCENTRAÇÃO,FORMA FARMACÊUTICA,DATA INCLUSÃO
Alprazolam,Pfizer,FRONTAL XR,"0,5mg",com lib lenta,12/11/2012
Alprazolam,Pfizer,FRONTAL XR,"1,0mg",com lib lenta,12/11/2012
Alprazolam,Pfizer,FRONTAL XR,"2,0mg",com lib lenta,12/11/2012
Alprostadil,Pfizer,CAVERJECT,10μg,po liof sol inj,24/06/2013
Alprostadil,Pfizer,CAVERJECT,20 μg,po liof sol inj,24/06/2013
Amantadina (cloridrato),Eurofarma,MANTIDAN,100mg,comp,13/09/2013
Ambroxol (cloridrato),Boehringer Ingelheim,MUCOSOLVAN,3 mg/ml,xpe,12/11/2012
Ambroxol (cloridrato),Boehringer Ingelheim,MUCOSOLVAN,6 mg/ml,xpe,12/11/2012
Ambroxol (cloridrato),Boehringer Ingelheim,MUCOSOLVAN,"7,5mg/mL",sol or (gotas),12/11/2012
Ambroxol (cloridrato),Boehringer Ingelheim,MUCOSOLVAN 24 H,75mg,cap lib cont,23/07/2013
Amicacina (sulfato),Teuto,SULFATO DE AMICACINA,50mg/ml,sol inj,12/11/2012
Amicacina (sulfato),Teuto,SULFATO DE AMICACINA,125mg/ml,sol inj,12/11/2012
Amicacina (sulfato),Teuto,SULFATO DE AMICACINA,250mg/ml,sol inj,12/11/2012
Amifostina,Schering Plough,ETHYOL,500mg,po liof sol inj,12/11/2012
Amiodarona (cloridrato),SAnofi-Aventis,ATLANSIL,100mg,com,12/11/2012
Amiodarona (cloridrato),SAnofi-Aventis,ATLANSIL,200mg,com,12/11/2012
Amiodarona (cloridrato),SAnofi-Aventis,ATLANSIL,50mg/ml,sol inj,12/11/2012
Aminofilina,Hypolabor,GENÉRICO,24 mg/ml,sol inj,12/11/2012
Amisulprida,Sanofi-Aventis,SOCIAN,50mg,com,12/11/2012
Amisulprida,Sanofi-Aventis,SOCIAN,200mg,com,12/11/2012
Amitriptilina (cloridrato),Cristalia,AMYTRIL,25mg,com rev,07/10/2013
Amitriptilina (cloridrato),Cristalia,AMYTRIL,75mg,com rev,07/10/2013
Amorolfina,Galderma,LOCERYL,50mg/mL,esml,12/11/2012
Amoxicilina,Glaxosmithkline,AMOXIL BD,200mg/5ml,po susp or,12/11/2012
Amoxicilina,Glaxosmithkline,AMOXIL BD,400mg/5ml,po susp or,12/11/2012
Amoxicilina,Glaxosmithkline,AMOXIL BD,875mg,com revestido,12/11/2012
Amoxicilina,Glaxosmithkline,AMOXIL,500mg,cap dura,10/05/2013
Amoxicilina,Glaxosmithkline,AMOXIL,125mg/5ml,po susp or,23/07/2013
Amoxicilina,Glaxosmithkline,AMOXIL,250mg/5ml,po susp or,23/07/2013
Amoxicilina,Glaxosmithkline,AMOXIL,500mg/5ml,po susp or,23/07/2013
Ampicilina,Bayer,BINOTAL,500mg,com,12/11/2012
Ampicilina,Bayer,BINOTAL,1000mg,com,12/11/2012
Amprenavir,Glaxosmithkline,AGENERASE,15mg/mL,sol or,12/11/2012
Amprenavir,Glaxosmithkline,AGENERASE,150mg,cap mole,12/11/2012
Anagrelida (cloridrato),EMS S/A,AGRYLIN,"0,5mg",cap dura,13/09/2013
Anagrelida (cloridrato),EMS S/A,AGRYLIN,"1,0mg",cap dura,13/09/2013
Anastrozol,Astrazeneca,ARIMIDEX,1mg,com rev,12/11/2012
Anfotericina B,Bagó,ABELCET,5mg/ml,susp inj,12/11/2012
Anfotericina B,Zodiac,AMPHOCIL,100mg,po liof sol inj,12/11/2012
Anidulafungina,Pfizer,ECALTA,100mg,po liof sol inj,12/11/2012
Anlodipino (besilato),Pfizer,NORVASC,"5,0mg",com,12/11/2012
Anlodipino (besilato),Pfizer,NORVASC,10mg,com,12/11/2012
Aripiprazol,Bristol Myers Squibb,ABILIFY,10mg,com,12/11/2012
Aripiprazol,Bristol Myers Squibb,ABILIFY,15mg,com,12/11/2012
Aripiprazol,Bristol Myers Squibb,ABILIFY,20mg,com,12/11/2012
Aripiprazol,Bristol Myers Squibb,ABILIFY,30mg,com,12/11/2012
Atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,100mg,cap dura,12/11/2012
Atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,150 mg,cap dura,12/11/2012
Atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,200 mg,cap dura,12/11/2012
Atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,300 mg,cap dura,12/11/2012
Atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,"50mg/1,5g",po sol extemp,12/11/2012
Atenolol,Astrazeneca,ATENOL,25mg,com,12/11/2012
Atenolol,Astrazeneca,ATENOL,50mg,com,12/11/2012
Atenolol,Astrazeneca,ATENOL,100 mg,com,12/11/2012
Atomoxetina (cloridrato),Eli Lilly,STRATTERA,10mg,cap dura,21/01/2013
Atorvastatina cálcica,Pfizer,CITALOR,10mg,com rev,12/11/2012
Atorvastatina cálcica,Pfizer,CITALOR,20mg,com rev,12/11/2012
Atorvastatina cálcica,Pfizer,CITALOR,40mg,com rev,12/11/2012
Atorvastatina cálcica,Pfizer,CITALOR,80mg,com rev,12/11/2012
Atosibano (acetato),Ferring,TRACTOCILE,"7,5mg/mL",sol inj,12/11/2012
Atosibano (acetato),Ferring,TRACTOCILE,"7,5mg/mL",sol infus,12/11/2012
Atracúrio (besilato),Glaxosmithkline,TRACRIUM,10mg/mL,sol inj,12/11/2012
Axetilcefuroxima,Glaxosmithkline,ZINNAT,250mg/5mL,po susp or,12/11/2012
Axetilcefuroxima,Glaxosmithkline,ZINNAT,250mg,com rev,12/11/2012
Axetilcefuroxima,Glaxosmithkline,ZINNAT,500mg,com rev,13/11/2012
Azatioprina,Aspen Pharma,IMURAN,50 mg,com rev,12/11/2012
"Azelaico, ácido",Intendis,AZELAN,150 mg/g,gel,12/11/2012
"Azelaico, ácido",Intendis,AZELAN,200 mg/g,crem derm,12/11/2012
Azelastina (cloridrato),Aché,RINO-LASTIN,"0,9 pcc",sol nas (spr),12/11/2012
Azitromicina diidratada,Pfizer,ZITROMAX,500mg,com rev,12/11/2012
Azitromicina diidratada,Pfizer,ZITROMAX,500mg,po liof sol infus,24/06/2013
Aztreonam,Novafarma,AZEUS,1000mg,po sol inj,12/11/2012
Baclofeno,Novartis Biociências,LIORESAL,10mg,com,12/11/2012
Bambuterol (cloridrato),Astrazeneca,BAMBEC,1mg/mL,sol or,12/11/2012
Bamifilina ( cloridrato),Chiesi,BAMIFIX,300mg,drag,12/11/2012
Bamifilina ( cloridrato),Chiesi,BAMIFIX,600 mg,drag,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL spray,100mcg/dose,susp nasal,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL spray,250mcg/dose,susp nasal,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,50mcg/dose,sol aer inal or + inal,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,100mcg/dose,sol aer inal or + inal,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,200mcg/dose,sol aer inal or + inal,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,250mcg/dose,sol aer inal or + inal,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA JET,50mcg/dose,sol aer inal or + espaç,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA JET,100mcg/dose,sol aer inal or + espaç,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA JET,200mcg/dose,sol aer inal or + espaç,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA JET,250mcg/dose,sol aer inal or + espaç,13/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,50mcg/dose,sol aer inal or+ inal + espaç,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,100mcg/dose,sol aer inal or+ inal + espaç,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,200mcg/dose,sol aer inal or+ inal + espaç,12/11/2012
Beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,250mcg/dose,sol aer inal or+ inal + espaç,13/11/2012
Beclometasona (dipropionato),glaxosmithkline,BECLOSOL SPR NASAL AQUOSO,50 mcg/mg,sus spr nas,12/11/2012
Benazepril (cloridrato),Novartis Biociências,LOTENSIN,"5,0mg",com rev,12/11/2012
Benazepril (cloridrato),Novartis Biociências,LOTENSIN,10 mg,com rev,13/11/2012
Benzidamina (cloridrato),Aché,FLOGORAL,"1,5mg/mL",colut spr,12/11/2012
Benzidamina (cloridrato),Aché,FLOGORAL,"1,5mg/mL",colut,12/11/2012
Benzidamina (cloridrato),Aché,FLOGORAL,3mg,past,12/11/2012
Benzidamina (cloridrato),Aché,FLOGORAL,5mg/g,crem dental,12/11/2012
Benzilpenicilina  benzatina,Eurofarma,BENZETACIL,1.200.000UI,sus inj,12/11/2012
Benzilpenicilina  benzatina,Eurofarma,BENZETACIL,600.000 UI,sus inj,12/11/2012
Benzila (benzoato),Aché,MITICOÇAN,"0,2mL/mL",emul top,30/11/2012
Benzila (benzoato),Ache,MITICOÇAN,100 mg/g,sab,30/11/2012
Benzoilmetronidazol,Sanofi-Aventis,FLAGYL,40mg/mL,susp or,12/11/2012
Betaistina (dicloridrato),Solvay Farma,BETASERC,16mg,com,12/11/2012
Betaistina (dicloridrato),Solvay Farma,BETASERC,24mg,com,13/11/2012
Betametsona,Mantecorp,CELESTONE,"0,1mg/mL",elx,12/11/2012
Betametsona,Mantecorp,CELESTONE,"0,5mg",com,12/11/2012
Betametsona,Mantecorp,CELESTONE,"2,0 mg",com,13/11/2012
Betametsona,Mantecorp,CELESTONE,"0,5mg",sol or,12/11/2012
Betametasona (dipropionato),Mantecorp,DIPROSONE,"0,64mg/g",pom derm,12/11/2012
Betametasona (dipropionato),Mantecorp,DIPROSONE,"0,64mg/g",crem derm,12/11/2012
Betametasona (dipropionato),Mantecorp,DIPROSONE,"0,64mg/mL",loç derm,12/11/2012
Betametasona (fosfato dissódico),Mantecorp,CELESTONE INJETÁVEL,4mg/mL,sol inj,12/11/2012
Betametasona (valerato),Glaxosmithkline,BETNOVATE,1mg/g,loç derm,12/11/2012
Betametasona (valerato),Glaxosmithkline,BETNOVATE,1mg/g,loç capilar,12/11/2012
Betametasona (valerato),Glaxosmithkline,BETNOVATE,1mg/g,crem derm,12/11/2012
Betametasona (valerato),Glaxosmithkline,BETNOVATE,1mg/g,pom derm,12/11/2012
Bisoprolol (hemifumarato),Merck S/A,CONCOR,"1,25mg",com revestido,13/09/2013
Bisoprolol (hemifumarato),Merck S/A,CONCOR,"2,5mg",com revestido,13/09/2013
Bisoprolol (hemifumarato),Merck S/A,CONCOR,"5,0mg",com revestido,13/09/2013
Bisoprolol (hemifumarato),Merck S/A,CONCOR,"10,0mg",com revestido,13/09/2013
Betaxolol (cloridrato),Alcon,BETOPTIC,"5,0mg/mL",sol oft,12/11/2012
Betaxolol (cloridrato),Alcon,BETOPTIC,"2,5mg/mL",susp oft,12/11/2012
Bezafibrato,Roche,CEDUR,200mg,com rev,12/11/2012
Bezafibrato,Roche,CEDUR,400mg,com desint lenta,12/11/2012
Bicalutamida,Astrazeneca,CASODEX,50mg,com rev,12/11/2012
Bifonazol,Bayer,MYCOSPOR,1mg/mL,sol top (spr),12/11/2012
Bimatoprosta,Allergan,LUMIGAN,"0,1mg/mL",sol oft,31/01/2013
Bimatoprosta,Allergan,LUMIGAN,"0,3mg/mL",sol oft,12/11/2013
Biperideno (cloridrato),Abbott,AKINETON,"2,0 mg",com,12/11/2012
Biperideno (cloridrato),Abbott,AKINETON,"4,0 mg",com rev retard,12/11/2012
Bisacodil,Boehringer Ingelheim,DULCOLAX,"5,0mg",drag,12/11/2012
Bisacodil,Boehringer Ingelheim,DULCOLAX,"1,25mg",com rev,12/11/2012
Bisacodil,Boehringer Ingelheim,DULCOLAX,"2,50 mg",com rev,12/11/2012
Bisacodil,Boehringer Ingelheim,DULCOLAX,"5,00 mg",com rev,12/11/2012
Bisacodil,Boehringer Ingelheim,DULCOLAX,"10,0 mg",com rev,12/11/2012
Bleomicina(sulfato),Biosintética,BONAR,15U,po liof sol inj,24/06/2013
Bortezomibe,Janssen Cilag,VELCADE,"1,0mg",po liof sol inj,12/11/2012
Bortezomibe,Janssen Cilag,VELCADE,"3,5 mg",po liof sol inj,12/11/2012
Bosentana,Actelion,GENÉRICO,"62,5mg",com rev,31/01/2013
Bosentana,Actelion,GENÉRICO,125 mg,com rev,31/01/2013
Brimonidina (tartarato),Allergan,ALPHAGAN,2mg/mL,sol oft,12/11/2012
Brimonidina (tartarato),Allergan,ALPHAGAN Z,1mg/ml,sol oft,12/11/2012
Brimonidina (tartarato),Allergan,ALPHAGAN - P,"1,5mg/mL",sol oft,12/11/2012
Brinzolamida,Alcon,AZOPT,10mg/mL,susp oft,12/11/2012
Bromazepam,Roche,LEXOTAN,"3,0mg",com,12/11/2012
Bromazepam,Roche,LEXOTAN,"6,0mg",com,12/11/2012
Bromazepam,Aché,SOMALIUM,"2,5mg/ml",sol or,24/06/2013
Brometo de pancurônio,Novafarma,N/A-GENÉRICO,2mg/ml,sol inj,12/11/2012
Bromexina (cloridrato),Boehringer Ingelheim,BISOLVON,"0,8mg/mL",xpe (infantil),12/11/2012
Bromexina (cloridrato),Boehringer Ingelheim,BISOLVON,"1,6mg/mL",xpe (adulto),12/11/2012
Bromexina (cloridrato),Boehringer Ingelheim,BISOLVON,"2,0mg/mL",sol or,12/11/2012
Bromocriptina (mesilato),Novartis Biociências,PARLODEL,"2,5mg",com,12/11/2012
Bromoprida,Sanofi-Aventis,DIGESAN,10mg,cap dura,12/11/2012
Bromoprida,Sanofi-Aventis,DIGESAN,"1,0 mg/mL",sol or,12/11/2012
Bromoprida,Sanofi-Aventis,DIGESAN,"4,0mg/mL",sol or (gotas),12/11/2012
Bromoprida,Sanofi-Aventis,DIGESAN,"5,0mg/ml",sol inj,12/11/2012
Buclizina (cloridrato),Sanofi-Aventis,BUCLINA,25mg,com,12/11/2012
Budesonida,Astrazeneca,ENTOCORT CAPSULA,3mg,cap,12/11/2012
Budesonida,Astrazeneca,ENTOCORT ENEMA,"2,3mg",emul ret,12/11/2012
Budesonida,Astrazeneca,BUDECORT AQUA,32mcg/dose,susp spr nas,12/11/2012
Budesonida,Astrazeneca,BUDECORT AQUA,64mcg/dose,susp spr nas,12/11/2012
Budesonida,Astrazeneca,PULMICORT,"0,25mg/mL",susp inal,12/11/2012
Budesonida,Astrazeneca,PULMICORT,"0,50mg/mL",susp inal,12/11/2012
Budesonida,Aché,BUSONID,100mcg/dose,susp aq nas,12/11/2012
Budesonida,Aché,BUSONID,200mcg,cap dura po inal or + inal,12/11/2012
Budesonida,Aché,BUSONID,400mcg,cap dura po inal or + inal,12/11/2012
Budesonida,Aché,BUSONID,50mcg/dose,susp  spr nas,12/11/2012
Budesonida,Aché,BUSONID,100mcg/dose,susp  spr nas,12/11/2012
Buflomedil (cloridrato),Abbott,BUFEDIL,150mg,com rev,12/11/2012
Buflomedil (cloridrato),Abbott,BUFEDIL,300 mg,com rev,12/11/2012
Bupivacaína (cloridrato),Hypofarma,CLORIDRATO DE BUPIVACAÍNA,"5,0mg/mL",sol inj,12/11/2012
Bupropiona (cloridrato),Glaxosmithkline,WELLBUTRIN SR,150mg,com rev lib prol,12/11/2012
Bupropiona (cloridrato),Glaxosmithkline,ZYBAN,150mg,com rev lib prol,12/11/2012
Bupropiona (cloridrato),Glaxosmithkline,WELLBUTRIN XL,150mg,com rev lib prol,12/11/2012
Bupropiona (cloridrato),Glaxosmithkline,WELLBUTRIN XL,300mg,com rev lib prol,12/11/2012
Busserrelina (acetato),Sanofi-Aventis,SUPRAFACT depot,"3,3 mg/microbastão",impl,12/11/2012
Bussulfano,Glaxosmithkline,MYLERAN,2mg,com rev,12/11/2012
Butenafina (cloridrato),Brainfarma,TEFIN,10mg/g,crem derm,12/11/2012
Butoconazol (nitrato),Sigma Pharma,GYNAZOLE-1,20mg/g,crem vag,12/11/2012
Cabazitaxel,Sanofi-Aventis,JEVTANA,40mg/ml,sol inj,17/03/2014
Cabergolina,Pfizer,DOSTINEX,"0,5mg",com,12/11/2012
Calcitonina (sintética de salmão),Novartis Biociências,MIACALCIC,100UI/mL,sol inj,12/11/2012
Calcitonina (sintética de salmão),Novartis Biociências,MIACALCIC,200UI/dose,sol spr nas,12/11/2012
Candesartana cilexetila,Astrazeneca,ATACAND,"8,0mg",com,12/11/2012
Candesartana cilexetila,Astrazeneca,ATACAND,16mg,com,12/11/2012
Candesartana cilexetila,Astrazeneca,ATACAND,32mg,com,12/11/2012
Capecitabina,Roche,XELODA,150mg,com rev,12/11/2012
Capecitabina,Roche,XELODA,500mg,com rev,12/11/2012
Caspofungina (acetato),Merck Sharp & Dohme,CANCIDAS,50mg,po liof sol inj,12/11/2012
Caspofungina (acetato),Merck Sharp & Dohme,CANCIDAS,70 mg,po liof sol inj,12/11/2012
Captopril,Pharlab,CAPTOSEN,"25,0mg",com,06/06/2013
Captopril,Pharlab,CAPTOSEN,"50,0mg",com,06/06/2013
Carbamazepina,Novartis Biociências,TEGRETOL,20mg/ml,sus or,12/11/2012
Carbamazepina,Novartis Biociências,TEGRETOL,200mg,com,12/11/2012
Carbamazepina,Novartis Biociências,TEGRETOL,400mg,com,12/11/2012
Carbamazepina,Novartis Biociências,TEGRETOL CR DIVITABS,200mg,com desint lenta,12/11/2012
Carbamazepina,Novartis Biociências,TEGRETOL CR DIVITABS,400mg,com desint lenta,12/11/2012
Carbocisteína,Nycomed,MUCOLITIC,250mg/4g,gran,12/11/2012
Carbocisteína,Nycomed,MUCOLITIC,50mg/ml,sol or (gotas),12/11/2012
Carbocisteína,Nycomed,MUCOLITIC,20mg/ml,xpe,12/11/2012
Carbocisteína,Nycomed,MUCOLITIC,50mg/ml,xpe,12/11/2012
Carboplatina,Pfizer,PLATAMINE CS,10 mg/ml,sol inj,12/11/2012
Carboximetilcelulose sódica,Allergan,FRESH TEARS,"5,0 mg/mL",sol oft,12/11/2012
Carboximetilcelulose sódica,Allergan,FRESH TEARS LIQUIGEL,10 mg/mL,sol oft,12/11/2012
Carmustina,Bristol Myers Squibb,Becenun,"33,333 mg/ml",po liof sol inj,12/11/2012
Carvedilol,Roche,COREG,"3,125mg",com,12/11/2012
Carvedilol,Roche,COREG,"6,25mg",com,12/11/2012
Carvedilol,Roche,COREG,"12,5mg",com,12/11/2012
Carvedilol,Roche,COREG,"25,0mg",com,12/11/2012
Cefaclor monoidratada,Sigma Pharma,CECLOR,50mg/ml,sus or,27/02/2013
Cefaclor monoidratada,Sigma Pharma,CECLOR,75mg/ml,sus or,27/02/2013
Cefaclor monoidratada,Sigma Pharma,CECLOR BD,500mg,comp rev lib prol,27/02/2013
Cefaclor monoidratada,Sigma Pharma,CECLOR BD,750mg,comp rev lib prol,27/02/2013
Cefaclor monoidratada,Bristol Myers Squibb,CEFAMOX,500mg,cap dura,12/11/2012
Cefaclor monoidratada,Bristol Myers Squibb,CEFAMOX,50mg/ml,po susp or,12/11/2012
Cefaclor monoidratada,Bristol Myers Squibb,CEFAMOX,100mg/mL,po susp or,12/11/2012
Cefalexina monoidratada,Bagó,KEFLEX,50mg/mL,susp or,12/11/2012
Cefalexina monoidratada,Bagó,KEFLEX,"1,5g/15mL = 100mg/mL",po sol extemp,12/11/2012
Cefalexina monoidratada,Bagó,KEFLEX,100mg/mL,susp or,12/11/2012
Cefalexina monoidratada,Bagó,KEFLEX,500mg,drag,12/11/2012
Cefalexina monoidratada,Bagó,KEFLEX,1000mg,drag,12/11/2012
Cefalexina monoidratada,Antibióticos do Brasil,KEFORAL,500mg,cap dura,13/09/2013
Cefalexina monoidratada,Sandoz,KEFLAXINA,5g/100mL = 50mg/mL,po extemp,12/11/2012
Cefalotina sódica (tamponada),Antibióticos do Brasil,KEFLIN NEUTRO,1000 mg,po liof sol inj,15/01/2013
Cefazolina sódica,Antibióticos do Brasil,KEFAZOL,250 mg,po sol inj,07/10/2013
Cefazolina sódica,Antibióticos do Brasil,KEFAZOL,500 mg,po sol inj,07/10/2013
Cefazolina sódica,Antibióticos do Brasil,KEFAZOL,1000 mg,po sol inj,07/10/2013
Cefepima(cloridrato),Bristol Myers Squibb,MAXCEF,1 g,po sol inj,12/11/2012
Cefepima(cloridrato),Bristol Myers Squibb,MAXCEF,2g,po sol inj,12/11/2012
Cefotaxima sódica,Sanofi-Aventis,CLAFORAN,1000 mg,po sol inj,12/11/2012
Cefproxila,Bristol Myers Squibb,CEFZIL,500 mg,com,12/11/2012
Ceftazidima,Glaxosmithkline,FORTAZ,1000mg,po sol inj,12/11/2012
Ceftazidima,Glaxosmithkline,FORTAZ,2000mg,po sol inj,12/11/2012
Ceftriaxona dissódica,Roche,ROCEFIN,500mg,po sol inj,12/11/2012
Ceftriaxona dissódica,Roche,ROCEFIN,1000mg,po sol inj,12/11/2012
Ceftriaxona dissódica,Roche,ROCEFIN,250mg,po sol inj im,12/11/2012
Ceftriaxona dissódica,Roche,ROCEFIN,500mg,po sol inj im,12/11/2012
Ceftriaxona dissódica,Roche,ROCEFIN,1000mg,po sol inj im,12/11/2012
Cefuroxima sódica,Glaxosmithkline,ZINACEF,750mg,po sol inj,12/11/2012
Celecoxib,Pfizer,CELEBRA,100mg,cap dura,12/11/2012
Celecoxib,Pfizer,CELEBRA,200 mg,cap dura,12/11/2012
Cetirizina (dicloridrato),Glaxosmithkline,ZYRTEC,10mg,com rev,12/11/2012
Cetirizina (dicloridrato),Glaxosmithkline,ZYRTEC,1mg/mL,sol or,12/11/2012
Cetoconazol,Janssen Cilag,NIZORAL,200mg,com,12/11/2012
Cetoconazol,Sandoz,GENÉRICO,20mg/g,xamp,13/09/2013
Cetoconazol,Janssen Cilag,NIZORAL,20mg/g,crem derm,12/11/2012
cetoprofeno,Sanofi-Aventis,BI - PROFENID,150mg,com desint lenta,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID,100mg,sups,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID,20mg/mL,sol or,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID,25mg,gel,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID,50mg,cap dura,12/11/2012
